user_id,timestamp,event_name,user_first_touch_timestamp,category,operating_system,operating_system_version,language,continent,country,region,sub_continent,medium,source,engaged_session_event,engagement_time_msec,entrances,ga_session_id,ga_session_number,ignore_referrer,page_location,page_title,section,session_engaged,store,store_name,diff
11,2023-04-10 17:26:20.265654,page_view,2023-04-10 17:24:53.336218112,mobile,Android,Android 13,fr-fr,Europe,France,Bourgogne-Franche-Comte,Western Europe,,,1.0,3230.0,,1681147483,1,True,https://lookiero.fr/user/quiz/leisure,Lookiero | Votre Personal Shopper chez vous,quiz_leisure,1.0,2,FR,
11,2023-04-10 17:26:20.265654,page_view,2023-04-10 17:24:53.336218112,mobile,Android,Android 13,fr-fr,Europe,France,Bourgogne-Franche-Comte,Western Europe,,,1.0,3230.0,,1681147483,1,True,https://lookiero.fr/user/quiz/leisure,Lookiero | Votre Personal Shopper chez vous,quiz_leisure,1.0,2,FR,0.0
11,2023-04-10 17:26:43.210444,page_view,2023-04-10 17:24:53.336218112,mobile,Android,Android 13,fr-fr,Europe,France,Bourgogne-Franche-Comte,Western Europe,,,1.0,19695.0,,1681147483,1,True,https://lookiero.fr/user/quiz/work,Lookiero | Votre Personal Shopper chez vous,quiz_work,1.0,2,FR,22944.79
11,2023-04-10 17:26:51.130673,page_view,2023-04-10 17:24:53.336218112,mobile,Android,Android 13,fr-fr,Europe,France,Bourgogne-Franche-Comte,Western Europe,,,1.0,7916.0,,1681147483,1,True,https://lookiero.fr/user/quiz/fit,Lookiero | Votre Personal Shopper chez vous,quiz_fit,1.0,2,FR,7920.229
11,2023-04-10 17:27:01.689933,page_view,2023-04-10 17:24:53.336218112,mobile,Android,Android 13,fr-fr,Europe,France,Bourgogne-Franche-Comte,Western Europe,,,1.0,10537.0,,1681147483,1,True,https://lookiero.fr/user/quiz/highlight,Lookiero | Votre Personal Shopper chez vous,quiz_highlight,1.0,2,FR,10559.26
11,2023-04-10 17:27:15.263533,page_view,2023-04-10 17:24:53.336218112,mobile,Android,Android 13,fr-fr,Europe,France,Bourgogne-Franche-Comte,Western Europe,,,1.0,18597.0,,1681147483,1,True,https://lookiero.fr/user/quiz/actual-summary,Lookiero | Votre Personal Shopper chez vous,quiz_actual-summary,1.0,2,FR,13573.6
11,2023-04-10 17:27:25.045049,page_view,2023-04-10 17:24:53.336218112,mobile,Android,Android 13,fr-fr,Europe,France,Bourgogne-Franche-Comte,Western Europe,,,1.0,4745.0,,1681147483,1,True,https://lookiero.fr/user/quiz/body-shape,Lookiero | Votre Personal Shopper chez vous,quiz_bodyShape,1.0,2,FR,9781.516
11,2023-04-10 17:27:37.946196,page_view,2023-04-10 17:24:53.336218112,mobile,Android,Android 13,fr-fr,Europe,France,Bourgogne-Franche-Comte,Western Europe,,,1.0,12771.0,,1681147483,1,True,https://lookiero.fr/user/quiz/eyes,Lookiero | Votre Personal Shopper chez vous,quiz_eyes,1.0,2,FR,12901.146999999999
11,2023-04-10 17:27:51.962910,page_view,2023-04-10 17:24:53.336218112,mobile,Android,Android 13,fr-fr,Europe,France,Bourgogne-Franche-Comte,Western Europe,,,1.0,13980.0,,1681147483,1,True,https://lookiero.fr/user/quiz/hair,Lookiero | Votre Personal Shopper chez vous,quiz_hair,1.0,2,FR,14016.714
11,2023-04-10 17:28:10.772039,page_view,2023-04-10 17:24:53.336218112,mobile,Android,Android 13,fr-fr,Europe,France,Bourgogne-Franche-Comte,Western Europe,,,1.0,18924.0,,1681147483,1,True,https://lookiero.fr/user/quiz/sizes,Lookiero | Votre Personal Shopper chez vous,quiz_sizes,1.0,2,FR,18809.128999999997
